sample_name	provided_species	filenames
S62	Escherichia coli	S62_R1.fastq.gz/S62_R2.fastq.gz
S63	Escherichia coli	S63_R1.fastq.gz/S63_R2.fastq.gz
S64	Escherichia coli	S64_R1.fastq.gz/S64_R2.fastq.gz
S65	Escherichia coli	S65_R1.fastq.gz/S65_R2.fastq.gz
S66	Escherichia coli	S66_R1.fastq.gz/S66_R2.fastq.gz
S67	Escherichia coli	S67_R1.fastq.gz/S67_R2.fastq.gz
S68	Escherichia coli	S68_R1.fastq.gz/S68_R2.fastq.gz
S69	Escherichia coli	S69_R1.fastq.gz/S69_R2.fastq.gz
S7	Staphylococcus aureus	S7_R1.fastq.gz/S7_R2.fastq.gz
S70	Escherichia coli	S70_R1.fastq.gz/S70_R2.fastq.gz
S71	Escherichia coli	S71_R1.fastq.gz/S71_R2.fastq.gz
S72	Escherichia coli	S72_R1.fastq.gz/S72_R2.fastq.gz
S73	Escherichia coli	S73_R1.fastq.gz/S73_R2.fastq.gz
S74	Escherichia coli	S74_R1.fastq.gz/S74_R2.fastq.gz
S75	Escherichia coli	S75_R1.fastq.gz/S75_R2.fastq.gz
S76	Escherichia coli	S76_R1.fastq.gz/S76_R2.fastq.gz
S77	Escherichia coli	S77_R1.fastq.gz/S77_R2.fastq.gz
S78	Escherichia coli	S78_R1.fastq.gz/S78_R2.fastq.gz
S79	Escherichia coli	S79_R1.fastq.gz/S79_R2.fastq.gz
S8	Staphylococcus aureus	S8_R1.fastq.gz/S8_R2.fastq.gz
S80	Escherichia coli	S80_R1.fastq.gz/S80_R2.fastq.gz
S81	Escherichia coli	S81_R1.fastq.gz/S81_R2.fastq.gz
S82	Escherichia coli	S82_R1.fastq.gz/S82_R2.fastq.gz
S83	Escherichia coli	S83_R1.fastq.gz/S83_R2.fastq.gz
S84	Escherichia coli	S84_R1.fastq.gz/S84_R2.fastq.gz
S85	Escherichia coli	S85_R1.fastq.gz/S85_R2.fastq.gz
S86	Escherichia coli	S86_R1.fastq.gz/S86_R2.fastq.gz
S87	Escherichia coli	S87_R1.fastq.gz/S87_R2.fastq.gz
S88	Escherichia coli	S88_R1.fastq.gz/S88_R2.fastq.gz
S89	Staphylococcus aureus	S89_R1.fastq.gz/S89_R2.fastq.gz
S9	Staphylococcus aureus	S9_R1.fastq.gz/S9_R2.fastq.gz
S90	Staphylococcus aureus	S90_R1.fastq.gz/S90_R2.fastq.gz
S91	Staphylococcus aureus	S91_R1.fastq.gz/S91_R2.fastq.gz
S92	Staphylococcus aureus	S92_R1.fastq.gz/S92_R2.fastq.gz
S93	Escherichia coli	S93_R1.fastq.gz/S93_R2.fastq.gz
S94	Escherichia coli	S94_R1.fastq.gz/S94_R2.fastq.gz
S95	Escherichia coli	S95_R1.fastq.gz/S95_R2.fastq.gz
S96	Escherichia coli	S96_R1.fastq.gz/S96_R2.fastq.gz
S97	Escherichia coli	S97_R1.fastq.gz/S97_R2.fastq.gz
S98	Escherichia coli	S98_R1.fastq.gz/S98_R2.fastq.gz
S99	Escherichia coli	S99_R1.fastq.gz/S99_R2.fastq.gz
